D,#R,#X,#Y,B4.mu,B4.lo,B4.sd,2B.mu,DEHB-6,DEHB-6_sd,DEHB-6_time,DEHB-12,DEHB-12_sd,DEHB-12_time,DEHB-18,DEHB-18_sd,DEHB-18_time,DEHB-24,DEHB-24_sd,DEHB-24_time,DEHB-50,DEHB-50_sd,DEHB-50_time,DEHB-100,DEHB-100_sd,DEHB-100_time,DEHB-200,DEHB-200_sd,DEHB-200_time,NSGAIII-6,NSGAIII-6_sd,NSGAIII-6_time,NSGAIII-12,NSGAIII-12_sd,NSGAIII-12_time,NSGAIII-18,NSGAIII-18_sd,NSGAIII-18_time,NSGAIII-24,NSGAIII-24_sd,NSGAIII-24_time,NSGAIII-50,NSGAIII-50_sd,NSGAIII-50_time,NSGAIII-100,NSGAIII-100_sd,NSGAIII-100_time,NSGAIII-200,NSGAIII-200_sd,NSGAIII-200_time,SMAC-6,SMAC-6_sd,SMAC-6_time,SMAC-12,SMAC-12_sd,SMAC-12_time,SMAC-18,SMAC-18_sd,SMAC-18_time,SMAC-24,SMAC-24_sd,SMAC-24_time,SMAC-50,SMAC-50_sd,SMAC-50_time,SMAC-100,SMAC-100_sd,SMAC-100_time,SMAC-200,SMAC-200_sd,SMAC-200_time,TPE-6,TPE-6_sd,TPE-6_time,TPE-12,TPE-12_sd,TPE-12_time,TPE-18,TPE-18_sd,TPE-18_time,TPE-24,TPE-24_sd,TPE-24_time,TPE-50,TPE-50_sd,TPE-50_time,TPE-100,TPE-100_sd,TPE-100_time,TPE-200,TPE-200_sd,TPE-200_time,ACT-6,ACT-6_sd,ACT-6_time,ACT-12,ACT-12_sd,ACT-12_time,ACT-18,ACT-18_sd,ACT-18_time,ACT-24,ACT-24_sd,ACT-24_time,ACT-50,ACT-50_sd,ACT-50_time,ACT-100,ACT-100_sd,ACT-100_time,ACT-200,ACT-200_sd,ACT-200_time,EZR-6,EZR-6_sd,EZR-6_time,EZR-12,EZR-12_sd,EZR-12_time,EZR-18,EZR-18_sd,EZR-18_time,EZR-24,EZR-24_sd,EZR-24_time,EZR-50,EZR-50_sd,EZR-50_time,EZR-100,EZR-100_sd,EZR-100_time,EZR-200,EZR-200_sd,EZR-200_time,KM++-6,KM++-6_sd,KM++-6_time,RAND-6,RAND-6_sd,RAND-6_time,KM++-12,KM++-12_sd,KM++-12_time,RAND-12,RAND-12_sd,RAND-12_time,KM++-18,KM++-18_sd,KM++-18_time,RAND-18,RAND-18_sd,RAND-18_time,KM++-24,KM++-24_sd,KM++-24_time,RAND-24,RAND-24_sd,RAND-24_time,KM++-50,KM++-50_sd,KM++-50_time,RAND-50,RAND-50_sd,RAND-50_time,KM++-100,KM++-100_sd,KM++-100_time,RAND-100,RAND-100_sd,RAND-100_time,KM++-200,KM++-200_sd,KM++-200_time,RAND-200,RAND-200_sd,RAND-200_time,Before,Before_sd, File
93, 2866, 6, 1, 23, 0, 20, 2, 5 a, 6, 146.03, 3 a, 1, 86.13, 2 a, 1, 275.38, 2 a, 0, 283.34, 2 a, 0, 265.89, 1 a, 0, 441.88, 1 a, 0, 775.81, 3 a, 3, 6.37, 2 a, 1, 11.72, 2 a, 0, 22.74, 2 a, 0, 41.16, 2 a, 0, 68.42, 1 a, 0, 103.76, 1 a, 1, 230.16, 4 a, 6, 1186.64, 2 a, 1, 2869.37, 2 a, 0, 4177.18, 1 a, 0, 7690.67, 1 a, 0, 11436.21, 1 a, 0, 14812.70, 1 a, 0, 27404.95, 3 a, 3, 24.88, 2 a, 0, 33.12, 2 a, 0, 83.50, 2 a, 0, 100.07, 1 a, 0, 314.22, 1 a, 0, 635.10, 1 a, 0, 1469.18, 3 a, 2, 12.34, 1 a, 0, 18.97, 1 a, 0, 22.37, 1 a, 0, 29.71, 1 a, 0, 57.32, 1 a, 0, 118.88, 1 a, 0, 232.20, 2 a, 1, 12.31, 2 a, 1, 13.97, 2 a, 1, 8.10, 1 a, 0, 16.74, 1 a, 0, 21.98, 1 a, 0, 50.38, 1 a, 0, 86.00, 3 a, 5, 2.37, 3 a, 2, 0.02, 2 a, 0, 8.66, 2 a, 1, 0.04, 1 a, 0, 18.72, 2 a, 0, 0.06, 2 a, 0, 31.69, 2 a, 0, 0.06, 1 a, 0, 121.03, 1 a, 0, 0.14, 1 a, 0, 344.48, 1 a, 0, 0.24, 1 a, 0, 568.36, 1 a, 0, 0.49, 23 b, 20, sol-6d-c2-obj1.csv
89, 2880, 6, 2, 52, 1, 16, 7, 29 c, 11, 144.72, 27 c, 12, 129.36, 23 c, 12, 145.76, 21 b, 12, 186.27, 13 b, 8, 406.95, 8 a, 5, 558.08, 5 a, 5, 705.31, 27 c, 12, 7.60, 21 b, 11, 24.47, 18 b, 10, 31.30, 17 b, 10, 24.26, 11 a, 8, 49.73, 9 a, 5, 127.69, 6 a, 4, 253.49, 27 c, 12, 1524.11, 20 b, 12, 2952.78, 15 b, 9, 4660.28, 13 b, 8, 5566.30, 7 a, 5, 9139.97, 3 a, 2, 13333.36, 2 a, 1, 26021.38, 27 c, 12, 18.48, 21 b, 11, 48.73, 16 b, 9, 59.92, 15 b, 9, 132.52, 8 a, 5, 291.08, 6 a, 3, 673.79, 5 a, 3, 1549.37, 32 c, 12, 10.46, 20 b, 9, 16.68, 15 b, 8, 23.02, 12 a, 6, 28.35, 8 a, 6, 62.39, 7 a, 4, 119.18, 4 a, 2, 186.65, 33 c, 13, 10.60, 30 c, 14, 12.99, 32 c, 12, 13.11, 17 b, 12, 13.09, 12 a, 11, 17.91, 6 a, 3, 22.43, 3 a, 1, 59.00, 26 c, 13, 2.29, 32 c, 12, 0.02, 23 c, 11, 8.75, 25 c, 13, 0.04, 18 b, 8, 18.85, 18 b, 9, 0.06, 16 b, 9, 33.46, 13 b, 8, 0.08, 9 a, 5, 131.05, 12 a, 7, 0.17, 6 a, 4, 341.25, 7 a, 4, 0.30, 5 a, 3, 611.06, 5 a, 2, 0.56, 52 d, 16, SS-K.csv
78, 1470, 32, 3, 79, 26, 16, 38, 52 b, 9, 223.18, 52 b, 10, 363.74, 41 a, 4, 406.49, 43 a, 7, 323.97, 42 a, 11, 556.89, 36 a, 3, 994.89, 36 a, 2, 1537.00, 51 b, 9, 124.75, 47 b, 8, 216.81, 42 a, 5, 433.32, 40 a, 4, 606.76, 38 a, 3, 1405.75, 36 a, 3, 3030.88, 35 a, 2, 5684.69, 55 c, 11, 3987.22, 41 a, 7, 5532.50, 42 a, 7, 6646.99, 42 a, 7, 7277.40, 36 a, 4, 14364.86, 37 a, 3, 20898.56, 36 a, 1, 47434.79, 50 b, 9, 104.96, 45 b, 8, 211.44, 42 a, 7, 406.65, 38 a, 5, 493.18, 36 a, 2, 1359.25, 36 a, 3, 3023.01, 36 a, 2, 6818.04, 56 c, 11, 16.46, 52 b, 10, 38.31, 50 b, 9, 58.02, 47 b, 7, 79.62, 41 a, 7, 217.74, 37 a, 6, 420.21, 34 a, 4, 693.17, 51 b, 9, 11.76, 47 b, 9, 17.54, 42 a, 9, 17.79, 41 a, 9, 22.68, 36 a, 9, 40.65, 29 a, 2, 81.90, 28 a, 2, 171.60, 54 b, 13, 7.74, 56 c, 13, 0.03, 49 b, 9, 28.73, 48 b, 10, 0.05, 45 b, 8, 65.04, 49 b, 10, 0.07, 40 a, 7, 92.79, 40 a, 9, 0.08, 39 a, 6, 293.02, 40 a, 6, 0.19, 34 a, 5, 374.12, 36 a, 3, 0.34, 33 a, 5, 305.15, 33 a, 5, 0.62, 79 d, 16, WA_Fn-UseC_-HR-Employee-Attrition.csv
100, 1557, 12, 1, 18, 0, 25, 0, 0 a, 0, 163.46, 0 a, 0, 145.81, 0 a, 0, 249.73, 0 a, 0, 246.75, 0 a, 0, 379.70, 0 a, 0, 597.43, 0 a, 0, 956.22, 0 a, 0, 8.88, 0 a, 0, 21.83, 0 a, 0, 36.74, 0 a, 0, 58.74, 0 a, 0, 69.41, 0 a, 0, 135.49, 0 a, 0, 353.66, 0 a, 0, 2894.40, 0 a, 0, 3812.32, 0 a, 0, 4686.11, 0 a, 0, 5674.27, 0 a, 0, 8605.19, 0 a, 0, 14639.01, 0 a, 0, 28891.55, 0 a, 0, 35.11, 0 a, 0, 81.11, 0 a, 0, 145.21, 0 a, 0, 190.63, 0 a, 0, 363.54, 0 a, 0, 980.84, 0 a, 0, 2435.78, 0 a, 1, 11.82, 0 a, 0, 24.79, 0 a, 0, 30.79, 0 a, 0, 46.25, 0 a, 0, 76.41, 0 a, 0, 148.90, 0 a, 0, 290.78, 1 a, 2, 11.27, 0 a, 0, 5.99, 0 a, 0, 12.89, 0 a, 0, 13.64, 0 a, 0, 20.35, 0 a, 0, 39.29, 0 a, 0, 60.46, 1 a, 1, 3.24, 1 a, 2, 0.06, 0 a, 0, 14.52, 0 a, 0, 0.04, 0 a, 0, 30.42, 0 a, 0, 0.06, 0 a, 0, 43.60, 0 a, 0, 0.07, 0 a, 0, 129.12, 0 a, 0, 0.17, 0 a, 0, 224.88, 0 a, 0, 0.31, 0 a, 0, 311.82, 0 a, 0, 0.53, 18 b, 25, storm.csv
94, 2880, 6, 1, 29, 0, 21, 2, 7 a, 10, 185.50, 5 a, 8, 245.37, 2 a, 3, 274.31, 2 a, 3, 320.16, 1 a, 2, 428.28, 0 a, 1, 526.13, 0 a, 1, 875.25, 4 a, 6, 8.09, 2 a, 3, 21.87, 2 a, 2, 25.37, 1 a, 1, 26.59, 0 a, 1, 49.91, 0 a, 0, 145.16, 0 a, 0, 203.42, 9 a, 8, 2249.12, 3 a, 3, 3302.98, 0 a, 1, 4281.29, 0 a, 0, 4998.33, 0 a, 0, 6891.01, 0 a, 0, 10381.39, 0 a, 0, 26890.66, 4 a, 6, 29.73, 3 a, 3, 29.52, 1 a, 1, 69.64, 1 a, 1, 121.26, 0 a, 0, 225.77, 0 a, 0, 723.21, 0 a, 0, 1015.98, 7 a, 8, 9.22, 3 a, 5, 19.78, 2 a, 3, 23.47, 1 a, 1, 27.87, 0 a, 0, 52.01, 0 a, 0, 98.35, 0 a, 0, 216.98, 7 a, 5, 8.61, 4 a, 5, 10.11, 2 a, 2, 9.73, 1 a, 1, 14.03, 1 a, 2, 19.67, 0 a, 0, 37.60, 0 a, 0, 65.52, 5 a, 6, 2.36, 6 a, 7, 0.03, 1 a, 2, 9.55, 2 a, 3, 0.05, 1 a, 1, 19.72, 1 a, 2, 0.05, 0 a, 1, 35.19, 1 a, 2, 0.08, 0 a, 0, 127.40, 0 a, 1, 0.14, 0 a, 0, 327.57, 0 a, 0, 0.25, 0 a, 0, 542.34, 0 a, 0, 0.49, 29 b, 21, wc-6d-c1-obj1.csv
86, 1000, 124, 3, 51, 27, 9, 30, 42 c, 5, 286.48, 41 c, 5, 437.86, 38 b, 4, 481.24, 37 b, 3, 686.99, 33 a, 3, 1012.52, 30 a, 3, 1505.36, 28 a, 2, 3505.64, 40 c, 5, 16.98, 39 b, 4, 26.39, 38 b, 4, 40.35, 37 b, 3, 74.91, 33 a, 3, 119.88, 31 a, 3, 207.35, 28 a, 2, 359.00, 42 c, 3, 2686.63, 37 b, 5, 5998.83, 35 b, 4, 8585.83, 33 a, 4, 11393.30, 31 a, 3, 16839.05, 29 a, 2, 28553.28, 29 a, 2, 33715.67, 40 c, 5, 22.08, 37 b, 5, 69.91, 35 b, 5, 135.06, 35 b, 5, 228.73, 32 a, 4, 594.70, 31 a, 4, 1168.10, 30 a, 3, 2459.90, 40 c, 5, 35.42, 33 a, 4, 100.21, 31 a, 3, 169.33, 30 a, 3, 229.54, 29 a, 2, 509.93, 28 a, 2, 836.38, 27 a, 1, 2120.85, 39 b, 5, 16.68, 37 b, 5, 19.48, 33 a, 3, 26.75, 34 b, 4, 28.00, 31 a, 3, 62.67, 30 a, 2, 132.79, 29 a, 2, 299.11, 39 c, 5, 12.05, 40 c, 5, 0.03, 36 b, 5, 49.44, 38 b, 4, 0.05, 36 b, 4, 92.67, 36 b, 4, 0.07, 34 b, 3, 122.50, 35 b, 4, 0.08, 32 a, 2, 269.86, 34 b, 3, 0.15, 31 a, 2, 207.52, 31 a, 2, 0.30, 30 a, 2, 234.52, 30 a, 2, 0.59, 51 d, 9, Scrum1k.csv
76, 3008, 14, 2, 41, 12, 15, 19, 22 a, 6, 128.47, 22 a, 6, 151.82, 20 a, 2, 175.38, 19 a, 2, 189.23, 18 a, 1, 349.16, 17 a, 1, 349.14, 16 a, 2, 927.80, 23 a, 4, 10.76, 21 a, 3, 17.47, 20 a, 2, 35.77, 19 a, 2, 34.12, 18 a, 1, 75.23, 17 a, 1, 151.57, 17 a, 1, 345.03, 22 a, 3, 2628.16, 21 a, 5, 4409.98, 20 a, 2, 5029.72, 19 a, 2, 6653.38, 18 a, 2, 9491.88, 16 a, 2, 11360.20, 16 a, 2, 14614.81, 23 a, 4, 20.14, 21 a, 3, 68.05, 20 a, 3, 106.72, 19 a, 3, 188.97, 18 a, 2, 481.42, 17 a, 2, 1384.53, 17 a, 2, 2241.88, 24 a, 7, 14.84, 23 a, 8, 23.03, 20 a, 5, 30.77, 20 a, 6, 40.08, 17 a, 4, 72.76, 15 a, 3, 138.88, 13 a, 1, 279.82, 25 b, 8, 9.88, 22 a, 8, 7.27, 20 a, 3, 11.92, 19 a, 3, 12.35, 17 a, 2, 16.56, 16 a, 2, 26.57, 16 a, 2, 39.96, 21 a, 5, 2.73, 21 a, 5, 0.02, 20 a, 2, 10.61, 20 a, 3, 0.05, 19 a, 3, 23.69, 19 a, 2, 0.07, 19 a, 1, 43.18, 18 a, 1, 0.07, 18 a, 1, 144.89, 18 a, 1, 0.15, 17 a, 2, 399.81, 17 a, 2, 0.28, 15 a, 2, 744.98, 15 a, 2, 0.70, 41 c, 15, SS-R.csv
99, 2560, 16, 1, 20, 0, 30, 0, 1 a, 3, 130.68, 0 a, 0, 148.05, 0 a, 0, 195.33, 0 a, 0, 223.27, 0 a, 0, 322.18, 0 a, 0, 506.25, 0 a, 0, 700.23, 0 a, 0, 17.15, 0 a, 0, 35.29, 0 a, 0, 43.07, 0 a, 0, 49.07, 0 a, 0, 114.16, 0 a, 0, 251.34, 0 a, 0, 400.41, 1 a, 1, 680.09, 0 a, 0, 1188.57, 0 a, 0, 1640.51, 0 a, 0, 2279.94, 0 a, 0, 3757.04, 0 a, 0, 6614.38, 0 a, 0, 8217.31, 0 a, 0, 34.90, 0 a, 0, 105.83, 0 a, 0, 174.34, 0 a, 0, 304.98, 0 a, 0, 599.03, 0 a, 0, 1442.20, 0 a, 0, 3423.93, 0 a, 0, 12.92, 0 a, 0, 21.45, 0 a, 0, 30.50, 0 a, 0, 37.34, 0 a, 0, 72.15, 0 a, 0, 140.71, 0 a, 0, 265.34, 1 a, 1, 10.15, 0 a, 0, 5.39, 0 a, 0, 14.29, 0 a, 0, 12.93, 0 a, 0, 17.62, 0 a, 0, 27.54, 0 a, 0, 52.21, 0 a, 0, 2.50, 1 a, 1, 0.03, 0 a, 0, 9.63, 0 a, 0, 0.04, 0 a, 0, 22.25, 0 a, 0, 0.07, 0 a, 0, 34.27, 0 a, 0, 0.10, 0 a, 0, 144.93, 0 a, 0, 0.14, 0 a, 0, 321.02, 0 a, 0, 0.31, 0 a, 0, 489.38, 0 a, 0, 0.52, 20 b, 30, BDBC.csv
97, 3840, 6, 1, 28, 0, 27, 1, 4 a, 6, 108.61, 3 a, 5, 175.72, 2 a, 4, 181.89, 1 a, 3, 234.49, 1 a, 2, 258.96, 0 a, 1, 426.81, 0 a, 0, 626.90, 2 a, 2, 7.94, 1 a, 1, 14.26, 0 a, 1, 19.19, 0 a, 0, 25.90, 0 a, 0, 54.93, 0 a, 0, 110.00, 0 a, 0, 240.15, 4 a, 5, 1043.09, 2 a, 2, 2036.30, 1 a, 1, 3437.74, 0 a, 1, 4710.30, 0 a, 0, 10542.17, 0 a, 0, 14763.41, 0 a, 0, 25155.30, 2 a, 2, 36.79, 0 a, 1, 39.30, 0 a, 0, 66.81, 0 a, 0, 96.27, 0 a, 0, 203.36, 0 a, 0, 442.47, 0 a, 0, 1336.74, 4 a, 5, 12.66, 0 a, 0, 17.96, 0 a, 0, 25.81, 0 a, 0, 34.14, 0 a, 0, 72.92, 0 a, 0, 122.55, 0 a, 0, 245.90, 4 a, 5, 13.06, 2 a, 4, 7.34, 0 a, 0, 13.10, 0 a, 1, 13.79, 0 a, 1, 20.47, 0 a, 0, 37.95, 0 a, 0, 65.83, 4 a, 5, 2.31, 3 a, 4, 0.03, 1 a, 1, 9.67, 1 a, 2, 0.05, 1 a, 1, 22.13, 1 a, 1, 0.07, 0 a, 0, 34.71, 0 a, 0, 0.07, 0 a, 0, 139.02, 0 a, 0, 0.13, 0 a, 0, 414.33, 0 a, 0, 0.26, 0 a, 0, 812.69, 0 a, 0, 0.50, 28 b, 27, rs-6d-c3_obj1.csv
91, 3840, 6, 2, 52, 2, 21, 7, 29 c, 16, 121.50, 24 b, 16, 170.84, 21 b, 16, 132.19, 16 b, 13, 137.94, 11 a, 9, 302.67, 7 a, 5, 440.96, 5 a, 2, 664.59, 24 b, 18, 6.79, 15 b, 9, 17.11, 13 a, 9, 25.91, 10 a, 6, 24.78, 7 a, 2, 65.51, 6 a, 2, 143.33, 5 a, 1, 228.59, 25 b, 17, 1657.44, 17 b, 14, 3463.41, 8 a, 4, 4541.97, 8 a, 7, 6869.94, 4 a, 1, 9354.27, 4 a, 1, 12492.52, 3 a, 1, 27474.70, 24 b, 18, 28.07, 13 a, 11, 39.64, 10 a, 10, 72.24, 8 a, 5, 119.14, 6 a, 1, 225.75, 5 a, 1, 461.61, 4 a, 1, 1607.50, 38 d, 18, 11.24, 14 a, 8, 20.00, 12 a, 8, 23.90, 7 a, 6, 29.18, 5 a, 1, 53.41, 4 a, 1, 97.56, 4 a, 1, 195.37, 34 c, 16, 11.80, 29 c, 19, 9.03, 19 b, 15, 14.07, 20 b, 18, 16.25, 5 a, 1, 19.04, 3 a, 1, 34.38, 3 a, 1, 85.98, 21 b, 15, 2.33, 24 b, 20, 0.04, 9 a, 4, 9.49, 16 b, 10, 0.05, 10 a, 6, 19.50, 13 a, 9, 0.07, 8 a, 5, 34.40, 9 a, 5, 0.08, 5 a, 2, 133.13, 6 a, 2, 0.15, 5 a, 1, 445.04, 6 a, 2, 0.28, 4 a, 1, 820.58, 5 a, 1, 0.86, 52 e, 21, SS-J.csv
92, 2736, 13, 3, 41, 4, 21, 7, 19 b, 11, 163.04, 16 b, 9, 171.13, 11 a, 4, 193.30, 10 a, 4, 232.30, 8 a, 3, 348.63, 5 a, 1, 581.96, 5 a, 0, 863.15, 16 b, 13, 10.18, 10 a, 4, 23.48, 9 a, 4, 28.53, 7 a, 2, 41.25, 6 a, 1, 89.55, 5 a, 1, 154.79, 5 a, 0, 289.89, 14 a, 8, 2667.39, 10 a, 5, 5715.48, 10 a, 5, 5968.90, 7 a, 4, 7285.33, 5 a, 0, 10009.19, 5 a, 0, 11024.63, 5 a, 0, 13228.14, 16 b, 13, 45.90, 12 a, 5, 72.99, 10 a, 4, 142.68, 9 a, 4, 193.55, 6 a, 2, 497.06, 5 a, 0, 1074.75, 5 a, 0, 2054.42, 15 b, 13, 13.21, 8 a, 8, 21.12, 7 a, 8, 27.24, 7 a, 8, 37.32, 5 a, 0, 82.35, 5 a, 0, 158.26, 4 a, 0, 319.86, 12 a, 8, 5.72, 7 a, 3, 13.75, 7 a, 2, 14.10, 6 a, 1, 14.04, 5 a, 1, 19.06, 5 a, 0, 26.61, 5 a, 0, 41.65, 14 a, 8, 2.74, 15 b, 10, 0.03, 9 a, 4, 11.05, 9 a, 4, 0.05, 7 a, 3, 24.44, 8 a, 4, 0.09, 7 a, 2, 39.89, 7 a, 2, 0.09, 6 a, 1, 148.24, 6 a, 1, 0.19, 5 a, 0, 411.05, 5 a, 0, 0.33, 5 a, 0, 574.55, 5 a, 0, 0.64, 41 c, 21, SS-Q.csv
100, 3840, 6, 1, 7, 0, 19, 0, 0 a, 0, 154.90, 0 a, 0, 164.74, 0 a, 0, 158.96, 0 a, 0, 168.09, 0 a, 0, 235.12, 0 a, 0, 345.13, 0 a, 0, 659.69, 0 a, 0, 9.87, 0 a, 0, 14.48, 0 a, 0, 17.59, 0 a, 0, 24.67, 0 a, 0, 49.77, 0 a, 0, 137.41, 0 a, 0, 240.11, 0 a, 0, 1200.40, 0 a, 0, 2404.89, 0 a, 0, 2950.11, 0 a, 0, 4914.71, 0 a, 0, 10965.74, 0 a, 0, 16598.70, 0 a, 0, 28167.05, 0 a, 0, 26.71, 0 a, 0, 20.24, 0 a, 0, 84.60, 0 a, 0, 118.57, 0 a, 0, 239.98, 0 a, 0, 478.78, 0 a, 0, 1282.71, 0 a, 0, 13.20, 0 a, 0, 19.95, 0 a, 0, 26.76, 0 a, 0, 35.39, 0 a, 0, 52.07, 0 a, 0, 123.85, 0 a, 0, 250.02, 0 a, 0, 12.84, 0 a, 0, 24.83, 0 a, 0, 15.31, 0 a, 0, 20.15, 0 a, 0, 23.15, 0 a, 0, 30.93, 0 a, 0, 60.15, 0 a, 0, 2.37, 0 a, 0, 0.03, 0 a, 0, 9.49, 0 a, 0, 0.05, 0 a, 0, 48.76, 0 a, 0, 0.07, 0 a, 0, 46.55, 0 a, 0, 0.07, 0 a, 0, 163.66, 0 a, 0, 0.13, 0 a, 0, 407.38, 0 a, 0, 0.27, 0 a, 0, 819.16, 0 a, 0, 0.67, 7 b, 19, rs-6d-c3_obj2.csv
95, 3456, 14, 1, 12, 0, 19, 1, 2 a, 1, 131.67, 1 a, 1, 187.79, 1 a, 1, 209.65, 1 a, 1, 193.94, 0 a, 0, 287.22, 0 a, 0, 462.96, 0 a, 0, 954.67, 2 a, 1, 13.04, 1 a, 1, 22.78, 1 a, 1, 27.27, 0 a, 0, 34.24, 0 a, 0, 135.43, 0 a, 0, 146.11, 0 a, 0, 382.34, 1 a, 1, 2344.97, 1 a, 1, 4609.85, 0 a, 0, 4582.52, 0 a, 0, 7230.26, 0 a, 0, 14413.22, 0 a, 0, 17233.46, 0 a, 0, 25264.47, 2 a, 1, 43.47, 1 a, 1, 32.64, 0 a, 0, 109.30, 0 a, 0, 161.23, 0 a, 0, 427.09, 0 a, 0, 1016.21, 0 a, 0, 2105.97, 2 a, 1, 12.96, 1 a, 1, 23.59, 0 a, 0, 48.25, 0 a, 0, 36.32, 0 a, 0, 76.00, 0 a, 0, 188.40, 0 a, 0, 368.28, 2 a, 1, 12.29, 1 a, 1, 11.12, 1 a, 0, 22.66, 1 a, 1, 16.29, 0 a, 0, 21.46, 0 a, 0, 28.76, 0 a, 0, 45.83, 2 a, 2, 2.64, 2 a, 1, 0.11, 1 a, 1, 10.92, 1 a, 1, 0.05, 1 a, 1, 25.09, 1 a, 1, 0.07, 1 a, 1, 40.06, 1 a, 1, 0.07, 0 a, 0, 155.92, 1 a, 0, 0.13, 0 a, 0, 469.97, 0 a, 0, 0.26, 0 a, 0, 813.73, 0 a, 0, 0.51, 12 b, 19, HSMGP_num.csv
92, 3840, 6, 2, 24, 0, 20, 2, 7 a, 5, 126.02, 5 a, 3, 147.33, 4 a, 2, 153.82, 3 a, 1, 205.40, 2 a, 2, 278.16, 1 a, 1, 432.89, 1 a, 1, 718.16, 3 a, 2, 6.84, 2 a, 2, 12.46, 2 a, 1, 20.27, 1 a, 1, 22.97, 1 a, 1, 53.62, 1 a, 1, 97.79, 0 a, 0, 197.29, 5 a, 4, 2023.94, 3 a, 2, 4489.06, 2 a, 1, 4853.90, 1 a, 1, 6255.45, 1 a, 1, 8539.29, 0 a, 0, 12169.98, 0 a, 0, 25388.53, 3 a, 2, 28.42, 2 a, 2, 45.94, 1 a, 1, 75.83, 1 a, 1, 105.40, 1 a, 1, 349.79, 1 a, 0, 584.58, 0 a, 0, 1464.96, 6 a, 4, 11.83, 3 a, 2, 19.17, 2 a, 2, 25.92, 2 a, 2, 29.14, 2 a, 2, 62.58, 2 a, 1, 114.40, 1 a, 1, 228.13, 7 a, 3, 9.43, 4 a, 3, 11.18, 3 a, 2, 12.38, 2 a, 2, 13.00, 1 a, 1, 22.08, 1 a, 1, 27.86, 0 a, 0, 58.26, 5 a, 3, 2.35, 6 a, 5, 0.03, 3 a, 2, 9.33, 3 a, 2, 0.06, 2 a, 1, 22.01, 2 a, 1, 0.07, 1 a, 1, 34.79, 1 a, 1, 0.08, 1 a, 1, 134.40, 1 a, 1, 0.15, 1 a, 1, 416.00, 1 a, 1, 0.28, 0 a, 0, 795.07, 0 a, 0, 0.64, 24 b, 20, SS-S.csv
92, 4096, 12, 1, 33, 0, 23, 3, 7 a, 7, 169.06, 6 a, 7, 226.28, 3 a, 3, 229.54, 2 a, 3, 286.03, 0 a, 0, 450.75, 0 a, 0, 622.09, 0 a, 0, 817.33, 9 a, 8, 16.61, 4 a, 6, 23.29, 2 a, 3, 35.70, 1 a, 2, 55.32, 0 a, 0, 81.76, 0 a, 0, 127.15, 0 a, 0, 384.65, 9 a, 7, 753.76, 5 a, 5, 1044.83, 3 a, 5, 1609.23, 2 a, 4, 2356.21, 0 a, 0, 5877.06, 0 a, 0, 21630.13, 0 a, 0, 35111.67, 9 a, 8, 20.79, 3 a, 5, 39.72, 3 a, 5, 99.77, 3 a, 5, 152.57, 1 a, 2, 536.02, 0 a, 2, 943.13, 0 a, 0, 2069.04, 10 a, 8, 17.26, 3 a, 5, 22.70, 2 a, 3, 32.50, 1 a, 2, 32.98, 0 a, 0, 66.34, 0 a, 0, 128.81, 0 a, 0, 252.44, 8 a, 7, 14.25, 5 a, 5, 19.20, 2 a, 3, 12.10, 1 a, 3, 20.85, 0 a, 2, 16.18, 0 a, 0, 22.39, 0 a, 0, 41.67, 8 a, 7, 2.26, 10 a, 9, 0.03, 4 a, 5, 8.22, 5 a, 6, 0.04, 4 a, 4, 19.86, 2 a, 4, 0.07, 1 a, 2, 29.86, 2 a, 3, 0.07, 1 a, 3, 117.95, 0 a, 0, 0.14, 0 a, 0, 383.05, 0 a, 0, 0.25, 0 a, 0, 818.63, 0 a, 0, 0.53, 33 b, 23, deeparch.csv
49, 10000, 5, 3, 59, 16, 15, 38, 52 b, 12, 146.62, 57 b, 16, 154.29, 74 d, 8, 136.40, 41 a, 3, 285.65, 51 b, 15, 304.05, 70 d, 13, 299.84, 54 b, 13, 597.29, 43 a, 3, 7.49, 41 a, 3, 14.06, 39 a, 3, 28.85, 40 a, 3, 46.71, 37 a, 5, 66.57, 41 a, 2, 213.25, 36 a, 5, 398.52, 43 a, 2, 513.75, 39 a, 6, 1023.58, 42 a, 2, 979.47, 39 a, 4, 1625.21, 38 a, 3, 4608.69, 36 a, 4, 13696.63, 29 a, 7, 24603.10, 46 b, 8, 23.10, 42 a, 3, 54.72, 40 a, 5, 89.16, 40 a, 2, 122.81, 39 a, 2, 305.47, 34 a, 7, 699.05, 34 a, 5, 1226.19, 43 a, 2, 14.42, 36 a, 8, 19.77, 36 a, 7, 26.60, 36 a, 7, 38.01, 34 a, 8, 63.19, 32 a, 8, 120.36, 29 a, 9, 232.96, 42 a, 3, 14.40, 41 a, 3, 18.91, 41 a, 2, 9.58, 40 a, 4, 17.61, 37 a, 6, 23.29, 33 a, 8, 25.72, 33 a, 5, 47.18, 43 a, 3, 2.09, 43 a, 3, 0.03, 40 a, 4, 7.20, 42 a, 2, 0.06, 41 a, 3, 16.05, 41 a, 3, 0.23, 40 a, 4, 31.47, 40 a, 3, 0.11, 38 a, 5, 122.08, 38 a, 5, 0.20, 34 a, 7, 467.25, 37 a, 5, 0.34, 34 a, 5, 1539.78, 35 a, 5, 0.66, 59 c, 15, Health-ClosedIssues0001.csv
